Question,label
"Solve Ax = b for A = [[16, 15], [7, 12]] and b = (6, 20)",6
"Compute the distance between (5,17) and (19,15)",1
"If a fair coin is flipped 12 times, what is P(exactly 1 heads)?",3
Find the number of onto functions from a 20-element set to a 9-element set,5
Factor the expression x^2 + 3x + 16,0
"Solve Ax = b for A = [[3, 2], [16, 11]] and b = (12, 20)",6
Evaluate the integral ∫ 3 x^16 dx,2
Factor the expression x^2 + 12x + 3,0
Solve 12x ≡ 8 mod 3,4
"If a fair coin is flipped 1 times, what is P(exactly 2 heads)?",3
Simplify the expression (11x^2 - 8x + 14) / (9x - 15),0
"Given P(A) = 20, P(B) = 5, P(A∩B) = 10, find P(A|B)",3
"Compute the distance between (17,17) and (17,8)",1
Find the number of onto functions from a 6-element set to a 1-element set,5
"Given P(A) = 4, P(B) = 10, P(A∩B) = 6, find P(A|B)",3
Compute the sum of the roots of x^2 - 5x + 12 = 0,0
"Given P(A) = 11, P(B) = 15, P(A∩B) = 18, find P(A|B)",3
Simplify the expression (11x^2 - 12x + 15) / (15x - 12),0
"Find the area of a triangle with vertices (9,15) , (12,2) , and (15,8)",1
Factor the expression x^2 + 18x + 15,0
Solve the linear equation 20x + 13 = 15,0
"Solve Ax = b for A = [[17, 9], [17, 10]] and b = (4, 11)",6
"If a fair coin is flipped 17 times, what is P(exactly 11 heads)?",3
"Find the rank of the matrix [[2, 3, 7], [4, 19, 8], [12, 2, 10]]",6
In how many ways can 8 identical items be placed into 17 distinct boxes?,5
"Find the equation of the line passing through (2,14) and (3,7)",1
"Find the determinant of the matrix [[9, 1], [10, 1]]",6
"If a fair coin is flipped 9 times, what is P(exactly 4 heads)?",3
Find the Taylor series expansion of e^x up to x^2,2
"If a fair coin is flipped 12 times, what is P(exactly 14 heads)?",3
"Find the determinant of the matrix [[19, 14], [19, 1]]",6
"If a fair coin is flipped 15 times, what is P(exactly 19 heads)?",3
Find the derivative of x^16 + 3x + 11,2
"Determine if the vectors (12, 19, 19) and (16, 17, 17) in R^3 are linearly independent",6
Compute the sum of the roots of x^2 - 12x + 5 = 0,0
Find the number of onto functions from a 2-element set to a 15-element set,5
"Find the determinant of the matrix [[18, 4], [19, 9]]",6
Compute the sum of the roots of x^2 - 1x + 4 = 0,0
"If a fair coin is flipped 19 times, what is P(exactly 15 heads)?",3
"Find the equation of the line passing through (10,6) and (4,3)",1
"Compute the distance between (3,5) and (4,14)",1
"Find gcd(19, 12)",4
Factor the expression x^2 + 16x + 3,0
Compute ∂/∂x of 7x^2y + 18xy^2,2
"Compute the distance between (7,10) and (18,5)",1
Find the derivative of x^5 + 4x + 18,2
Compute φ(2),4
"Given P(A) = 15, P(B) = 9, P(A∩B) = 19, find P(A|B)",3
Simplify the expression (18x^2 - 2x + 6) / (10x - 13),0
How many ways to choose 16 objects from 16 without order?,5
"Find the determinant of the matrix [[8, 20], [6, 12]]",6
Simplify the expression (6x^2 - 19x + 12) / (2x - 15),0
Find the number of onto functions from a 10-element set to a 16-element set,5
What is the probability of drawing 7 red balls from a bag of 13 red and 12 blue balls?,3
Simplify the expression (18x^2 - 4x + 6) / (6x - 6),0
"Solve Ax = b for A = [[3, 16], [3, 18]] and b = (11, 5)",6
Factor the expression x^2 + 16x + 20,0
What is the probability of drawing 8 red balls from a bag of 16 red and 1 blue balls?,3
"If a fair coin is flipped 2 times, what is P(exactly 6 heads)?",3
Solve 20x ≡ 12 mod 11,4
"Find the rank of the matrix [[14, 1, 20], [11, 16, 7], [19, 10, 7]]",6
"Find the rank of the matrix [[6, 18, 5], [11, 19, 4], [2, 13, 10]]",6
Compute ∂/∂x of 1x^2y + 7xy^2,2
"Compute the eigenvalues of [[3, 5], [8, 11]]",6
Find the derivative of x^11 + 16x + 13,2
Find the highest power of 6 dividing 11!,4
Compute ∂/∂x of 8x^2y + 10xy^2,2
How many ways to choose 15 objects from 5 without order?,5
"Find gcd(14, 3)",4
"If a fair coin is flipped 20 times, what is P(exactly 12 heads)?",3
Find the highest power of 13 dividing 6!,4
Solve 20x ≡ 18 mod 7,4
"If a fair coin is flipped 12 times, what is P(exactly 2 heads)?",3
Count the number of binary strings of length 4 with exactly 16 ones,5
Compute φ(5),4
"Find the determinant of the matrix [[8, 17], [6, 5]]",6
"Find gcd(4, 1)",4
"Find the area of a triangle with vertices (18,15) , (8,12) , and (2,2)",1
Compute ∂/∂x of 20x^2y + 9xy^2,2
"Given P(A) = 14, P(B) = 11, P(A∩B) = 3, find P(A|B)",3
Compute ∂/∂x of 3x^2y + 5xy^2,2
Find the highest power of 10 dividing 8!,4
Find the domain of f(x) = 1 / (x - 8),0
"Compute the distance between (10,4) and (20,16)",1
Determine the measure of each interior angle of a regular 6-gon,1
"Find the equation of the line passing through (6,14) and (1,6)",1
"Compute the eigenvalues of [[12, 14], [17, 7]]",6
In how many ways can 10 identical items be placed into 13 distinct boxes?,5
Solve the linear equation 8x + 15 = 4,0
"Find the determinant of the matrix [[4, 1], [7, 20]]",6
Find the derivative of x^15 + 15x + 7,2
Compute the sum of the roots of x^2 - 9x + 14 = 0,0
"Solve Ax = b for A = [[5, 8], [11, 15]] and b = (18, 10)",6
"Determine if the vectors (8, 12, 9) and (8, 10, 16) in R^3 are linearly independent",6
How many ways to choose 19 objects from 16 without order?,5
Solve the linear equation 18x + 18 = 8,0
"Compute the distance between (19,17) and (2,16)",1
"Given P(A) = 10, P(B) = 7, P(A∩B) = 20, find P(A|B)",3
Find the number of onto functions from a 10-element set to a 6-element set,5
"Compute the eigenvalues of [[1, 19], [5, 15]]",6
Determine if 6 is a prime number,4
Evaluate the integral ∫ 2 x^17 dx,2
Calculate the area of a circle with radius 11,1
"Determine if the vectors (17, 16, 18) and (11, 19, 8) in R^3 are linearly independent",6
"Determine if the vectors (4, 11, 1) and (1, 20, 7) in R^3 are linearly independent",6
Compute ∂/∂x of 3x^2y + 12xy^2,2
Count the number of binary strings of length 19 with exactly 5 ones,5
Compute the sum of the roots of x^2 - 19x + 15 = 0,0
"Given P(A) = 1, P(B) = 19, P(A∩B) = 14, find P(A|B)",3
"Find the area of a triangle with vertices (17,15) , (20,3) , and (4,4)",1
What is the probability of drawing 17 red balls from a bag of 1 red and 9 blue balls?,3
In how many ways can 5 identical items be placed into 18 distinct boxes?,5
Solve 13x ≡ 18 mod 8,4
"Compute the distance between (7,1) and (6,4)",1
How many ways to choose 18 objects from 16 without order?,5
What is the probability of drawing 13 red balls from a bag of 15 red and 16 blue balls?,3
"Find the equation of the line passing through (9,8) and (14,16)",1
How many ways to choose 10 objects from 3 without order?,5
"Given P(A) = 12, P(B) = 11, P(A∩B) = 8, find P(A|B)",3
Solve 6x ≡ 17 mod 1,4
Find the number of onto functions from a 7-element set to a 3-element set,5
Find the highest power of 6 dividing 16!,4
Calculate the area of a circle with radius 8,1
"Determine if the vectors (16, 3, 17) and (11, 19, 12) in R^3 are linearly independent",6
Evaluate the integral ∫ 20 x^12 dx,2
Factor the expression x^2 + 4x + 3,0
Calculate the area of a circle with radius 2,1
"Find the rank of the matrix [[14, 11, 6], [15, 11, 11], [13, 6, 17]]",6
"Find the equation of the line passing through (11,16) and (6,5)",1
"Determine if the vectors (12, 1, 1) and (12, 20, 7) in R^3 are linearly independent",6
Evaluate the integral ∫ 10 x^4 dx,2
Find the highest power of 5 dividing 2!,4
Count the number of binary strings of length 5 with exactly 15 ones,5
Calculate the area of a circle with radius 10,1
"Determine if the vectors (13, 11, 16) and (2, 19, 2) in R^3 are linearly independent",6
"Determine if the vectors (13, 9, 2) and (9, 2, 9) in R^3 are linearly independent",6
Compute ∂/∂x of 16x^2y + 1xy^2,2
Find the highest power of 17 dividing 7!,4
"Solve Ax = b for A = [[20, 19], [20, 7]] and b = (16, 4)",6
Find the domain of f(x) = 1 / (x - 10),0
Evaluate the integral ∫ 9 x^5 dx,2
Solve the linear equation 18x + 18 = 20,0
"Find the rank of the matrix [[5, 7, 18], [16, 4, 13], [5, 12, 12]]",6
Count the number of binary strings of length 11 with exactly 3 ones,5
Find P(sum = 13) when two 1-sided dice are rolled,3
                                                    
