Question,label
"Find the equation of a circle with center (2,-3) and radius 5.","1"
"Evaluate \(\int xe^{x} dx\).","2"
"Calculate Pearson's correlation for points (1,2), (3,4), (5,6).","3"
"Find the remainder when \(2^{2023}\) is divided by 7.","4"
"How many Hamiltonian cycles exist in K₅?","5"
"Solve \(x^2 + 4x + 4 = 0\).","0"
"Calculate the surface area of Earth assuming spherical radius 6371km.","1"
"Find \(\lim_{x \to \infty} \frac{2x^2 + 3}{x^2 - 5}\).","2"
"Determine if events A and B are independent given P(A)=0.4, P(B)=0.3, P(A∩B)=0.12.","3"
"Find all integer solutions to \(x^2 + y^2 = 25\).","4"
"How many non-isomorphic graphs with 3 vertices exist?","5"
"Simplify \(\frac{2^{n+3}}{8^{n-1}}\).","0"
"Prove that opposite angles in a cyclic quadrilateral sum to 180°.","1"
"Find the volume generated by rotating \(y = \sqrt{x}\) about the x-axis from 0 to 4.","2"
"Calculate the covariance between X and Y for data: (1,3), (2,5), (4,7).","3"
"Find the smallest positive integer n where 2ⁿ ≡ 1 mod 7.","4"
"How many ways can 12 identical balls be distributed into 3 distinct boxes?","5"
"Solve \(\sqrt{x + 5} = x - 1\).","0"
"Find the area of parallelogram with vertices at (0,0), (3,0), (1,4), (4,4).","1"
"Calculate \(\int \sec^2(x) dx\).","2"
"Given P(A)=0.6, P(B)=0.4, and P(A∪B)=0.8, find P(A|B).","3"
"Solve the congruence \(3x ≡ 5 \mod 11\).","4"
"Count the number of injective functions from a 5-element set to a 7-element set.","5"
"Factor \(x^3 - 8\).","0"
"Calculate the angle between face diagonals of a cube.","1"
"Find \(\frac{dy}{dx}\) for \(y = \arctan(x)\).","2"
"Compute the standard deviation of {2,4,6,8}.","3"
"Find the number of positive divisors of 360.","4"
"How many ways can 7 people line up if two refuse to stand next to each other?","5"
"Solve \(e^{2x} = 5\).","0"
"Determine the length of the median from vertex A in triangle ABC with coordinates A(0,0), B(4,0), C(2,6).","1"
"Evaluate \(\int_{1}^{e} \frac{\ln(x)}{x} dx\).","2"
"Given normal distribution μ=100, σ=15, find P(X ≥ 130).","3"
"Find the multiplicative inverse of 5 in modulo 13 arithmetic.","4"
"How many edges are in the complete bipartite graph K₃,₅?","5"
"Simplify \(\frac{\sqrt{27} + \sqrt{12}}{\sqrt{3}}\).","0"
"Calculate the area of an equilateral triangle with side length 6.","1"
"Find the radius of convergence for \(\sum_{n=1}^\infty \frac{x^n}{n^2}\).","2"
"Compute the probability of getting exactly 3 heads in 6 coin flips.","3"
"Find the last two digits of \(7^{100}\).","4"
"How many ways can 4 married couples be seated around a table with alternating genders?","5"
"Solve the inequality \(x^2 - 5x + 6 < 0\).","0"
"Find the volume of a cone with radius 3 and height 4.","1"
"Calculate \(\int \frac{1}{x \ln(x)} dx\).","2"
"Determine if a 95% confidence interval widens or narrows when sample size increases.","3"
"Find all primes p where p² divides 100!.","4"
"How many ways can 10 identical coins be distributed to 4 children?","5"
"Determine if the vectors (1,2,3), (4,5,6), and (7,8,9) are linearly independent.","6"  
"Find the rank of the matrix \(\begin{bmatrix} 2 & 4 \\ 1 & 3 \\ 0 & 5 \end{bmatrix}\).","6"  
"Calculate the determinant of \(\begin{bmatrix} 3 & -1 \\ 2 & 4 \end{bmatrix}\).","6"  
"Find eigenvalues for \(\begin{bmatrix} 4 & 1 \\ 2 & 3 \end{bmatrix}\).","6"  
"Solve \(A\mathbf{x} = \mathbf{b}\) where \(A = \begin{bmatrix} 2 & 1 \\ 1 & 3 \end{bmatrix}\) and \(\mathbf{b} = \begin{bmatrix} 5 \\ 7 \end{bmatrix}\).","6"  
"Prove every finite integral domain is a field.","7"  
"Show that the set \(\{a + b\sqrt{2} \mid a,b \in \mathbb{Q}\}\) forms a field under standard operations.","7"  
"Determine if \(\mathbb{Z}_6\) is a principal ideal domain.","7"  
"Find the fundamental group of a torus.","7"  
"Prove the closure of a connected set in topology remains connected.","7"  
"Find the kernel of the linear transformation \(T(x,y,z) = (x+2y, 3z)\).","6"  
"Calculate the matrix representation of the rotation operator in \(\mathbb{R}^2\).","6"  
"Define a homomorphism between \(\mathbb{Z}_{12}\) and \(\mathbb{Z}_4\).","7"  
"Prove the intersection of two subspaces is itself a subspace.","6"  
"Construct a counterexample showing the union of subspaces need not be a subspace.","6"  
"Determine if \(S_n\) (symmetric group) is solvable for \(n \geq 5\).","7"  
"Find the quotient group \(\mathbb{Z}/4\mathbb{Z}\).","7"  
"Show that continuous image of a compact space is compact.","7"  
"Calculate the Jordan canonical form of \(\begin{bmatrix} 2 & 1 \\ 0 & 2 \end{bmatrix}\).","6"  
"Prove every subgroup of a cyclic group is cyclic.","7"  
